region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from,fit_check_rationale
british,1510-1530,1,1713,noblesse; benygne; trueth; pride; hatred; merites; petycyon; merytes; felycyte,"Virtue, Nobility & Human Character",Morality: Virtue & Vice,human,,
british,1550-1570,17,510,besecheth; euidentlye; plainely; manifestly; plainlye; euidently; aptly; shamefullye; shamefully,Manner & Certainty Adverbs,Structural / Uncertain,human,,
british,1550-1570,7,1378,magnanimitie; redempcion; excellencie; bewtifull; sincere; beaute; prowesse; vnspeakable; clemencie,"Virtue, Excellence & Clemency",Morality: Virtue & Vice,human,1530-1550#6,
british,1550-1570,11,821,thirtie; zodiake; fiftene; thirty; october; octobre; decembre; twentye; triangle,"Calendar, Astronomy & Geometry","Science, Mathematics & Natural Philosophy",human,,
british,1550-1570,20,379,sawest; vnderstandest; thynkest; lyest; nedest; traytoure; sholdest; gentylman; sister,Second-Person Singular Verb Forms,Structural / Uncertain,inherited,1530-1550#15,"Core is still majority second-person -est verb forms (sawest, understandest, thinkest, liest, needest, shouldest), with some character-name drift in mid/peripheral."
british,1550-1570,0,2236,annuities; rentes; countenaunces; superstitions; adherents; manours; tenements; iurisdictions; interpretations,"Property, Rents & Jurisdictions","Government, Law & Administration",human,1530-1550#1,
british,1550-1570,9,1283,vanquished; entangled; encountred; forgotten; conquered; lyen; entreated; supplied; stroken,Chronicle Narrative Verb Forms,Structural / Uncertain,inherited,1530-1550#5,Still consistently past-participle narrative/chronicle verbs throughout all tiers.
british,1550-1570,15,641,hereticke; idolater; adder; hypocrite; treatise; proposition; adulterer; preface; definition,"Heresy, Doctrine & Theological Argument","Religion, Theology & the Church",human,,
british,1550-1570,1,1801,bankes; cankred; lakes; ganges; beard; bushes; christall; haire; toppes,Landscape & Natural Features,"Nature, Landscape & Weather",human,1530-1550#17,
british,1550-1570,19,478,ilz; mort; eux; sont; couient; poit; apres; autre; prendre,French-Language Text,Structural / Uncertain,human,1530-1550#16,
british,1550-1570,12,773,perswading; nameth; loueth; despiseth; repenteth; accuseth; hateth; tempteth; assureth,Third-Person Singular Verb Forms,Structural / Uncertain,inherited,1530-1550#11,Still consistently third-person singular -eth verb forms throughout.
british,1550-1570,14,746,dissenteth; burste; abstain; swallowed; ran; pluckt; seuered; pulling; pulled,Common Action & Motion Verbs,Structural / Uncertain,inherited,1530-1550#10,Still consistently common action/motion verbs.
british,1550-1570,5,1519,ambicion; smart; rauenous; fylthie; heretical; outrages; murders; vnfaithfulnes; malicious,"Vice, Sin & Moral Corruption",Morality: Virtue & Vice,inherited,1530-1550#2,"Still strongly vice/moral-corruption vocabulary (ambition, ravenous, heretical, murders, malicious)."
british,1550-1570,8,1350,collon; roberte; quintus; octauius; assyria; treuers; discomfited; rychard; foteme,Chronicle Historical Figures,"History, Genealogy, Nobility & Kinship",human,1530-1550#7,
british,1550-1570,4,1615,modo; quibus; quidem; habens; earum; solum; illius; hinc; poterit,Latin Text,Structural / Uncertain,inherited,1530-1550#3,Still Latin text.
british,1550-1570,16,569,mewn; hwy; ryw; ddim; nac; lle; pethae; tad; chwy,Welsh-Language Text,Structural / Uncertain,human,,
british,1550-1570,3,1639,violettes; ginger; veluet; barlye; storax; hennes; sorell; borage; nuttes,Herbal & Culinary Ingredients,"Medicine, Body & Health",human,1530-1550#0,
british,1550-1570,13,753,ecclesiastica; alexandrinus; anacletus; arria; lucam; auste; optatus; cypriane; luthera,Church Fathers & Ecclesiastical History,"Religion, Theology & the Church",human,,
british,1550-1570,18,508,abia; ioram; zachary; xxij; esd; micheas; xxiij; xiiij; assur,Roman Numerals & Dates,Structural / Uncertain,inherited,1530-1550#9,Still Roman numerals mixed with biblical names.
british,1550-1570,10,1003,ald; quhe; contrar; tothir; quham; fresche; eftir; behald; gyf,Scots-Language Text,Structural / Uncertain,inherited,1530-1550#12,Still clearly Scots-language text throughout.
british,1550-1570,22,178,sou; nowell; dough; dema; barns; apprehe; eping; desce; withsta,Truncated Word Fragments,Structural / Uncertain,human,,
british,1550-1570,21,233,forter; tention; municatio; secrate; firmeth; panions; stantinople; fesseth; prehended,Truncated Word Fragments,Structural / Uncertain,inherited,1530-1550#14,Still truncated word fragments.
british,1550-1570,23,173,patie; penite; commandeme; preside; couena; poi; deua; regime; iudgme,Truncated Word Fragments,Structural / Uncertain,inherited,1530-1550#13,Still clearly truncated word fragments.
british,1550-1570,6,1405,absit; passionis; cornelio; meason; enfeffa; grocer; saxones; hunain; summon,Mixed Fragments & Proper Names,Structural / Uncertain,inherited,1530-1550#8,"Still a mixed bag of fragments, Latin, and proper names with no single theme."
british,1570-1590,21,747,prowes; maintenaunce; dexteritie; conseruation; excellente; victorious; hardy; mainteining; magnanimitie,"Prowess, Virtue & Triumph",Morality: Virtue & Vice,human,,
british,1570-1590,10,1189,sonets; rightuousnesse; sobernesse; grauitie; melodie; sinceritie; clemency; syncere; beneuolence,"Virtue, Excellence & Clemency",Morality: Virtue & Vice,inherited,1550-1570#7,"Still virtue vocabulary (righteousness, sobriety, sincerity, clemency, benevolence)."
british,1570-1590,5,1574,inforce; betake; intangle; employe; commande; entangle; appertayne; submitte; encorage,General Action Verbs,Structural / Uncertain,inherited,1550-1570#2,Still general action verbs.
british,1570-1590,32,515,notvvithstanding; novv; apace; wherein; backward; vvhich; thether; knovv; follovveth,Connective & Adverbial Function Words,Structural / Uncertain,human,,
british,1570-1590,30,550,extortioner; membra; isosceles; optimi; vnderling; eele; aequor; gaethiwed; heretick,Mixed Miscellany,Structural / Uncertain,human,,
british,1570-1590,15,1021,parasite; lauinia; adonis; helen; virginia; lamia; swayne; doughter; baker,Dramatic & Mythological Character Names,"Literature, Drama & Poetic Diction",human,1550-1570#20,
british,1570-1590,28,604,dooinges; auncetors; superiors; associates; doyngs; dealinges; wyues; maydens; conceits,"Kinship, Ancestry & Social Relations","History, Genealogy, Nobility & Kinship",human,,
british,1570-1590,37,303,bigger; drier; swifter; sweeter; wyser; woorse; holier; commendable; hotter,Comparative & Superlative Adjectives,Structural / Uncertain,human,,
british,1570-1590,9,1326,abbots; seminaries; exemptions; priors; reuenues; rents; bailiffes; manours; clearks,"Property, Rents & Jurisdictions","Government, Law & Administration",inherited,1550-1570#0,Still property/legal/church administration vocabulary.
british,1570-1590,2,1877,pinched; choaked; assalted; reprooued; turmoyled; combred; blamed; discomfited; spedde,Chronicle Narrative Verb Forms,Structural / Uncertain,inherited,1550-1570#9,Still narrative past-tense verbs.
british,1570-1590,16,910,correcteth; noteth; expoundeth; counteth; rebuketh; alleageth; termeth; acknowledgeth; allureth,Third-Person Singular Verb Forms,Structural / Uncertain,inherited,1550-1570#12,Still third-person singular -eth verb forms.
british,1570-1590,29,578,shillinges; sixtie; thirty; december; septem; twentye; fortye; xxxv; september,"Numbers, Currency & Calendar Dates","Trade, Finance & Commerce",human,1550-1570#11,
british,1570-1590,20,794,cremona; vvilliam; lantgraue; edmond; pacheco; comte; somerset; palatine; knolles,Nobility & Court Figures,"History, Genealogy, Nobility & Kinship",human,,
british,1570-1590,14,1056,lyfted; lyfte; throweth; flang; lyfting; leapt; hurled; gushed; rippe,Common Action & Motion Verbs,Structural / Uncertain,inherited,1550-1570#14,Still action/motion verbs.
british,1570-1590,19,838,villanously; sharplie; impudentlie; shamefully; impudently; manyfestly; euidentlie; louingly; horriblie,Manner & Certainty Adverbs,Structural / Uncertain,inherited,1550-1570#17,Still consistently manner adverbs (-ly/-lie forms).
british,1570-1590,12,1100,applications; pleasantnesse; demonstration; assertions; explication; interpretations; definition; syllogisme; writinges,"Argument, Demonstration & Definition",Rhetoric & Persuasion,human,1550-1570#15,
british,1570-1590,13,1076,feuersham; lincolne; peloponesus; notingham; ladislaus; exeter; thracia; mysia; norway,European & British Place Names,Geography & Territory,human,1550-1570#8,
british,1570-1590,11,1169,crispus; probus; richardus; marsilius; emilius; lucius; caius; libr; alexandrinus,Church Fathers & Ecclesiastical History,"Religion, Theology & the Church",inherited,1550-1570#13,"Core is Latin/classical personage names and mid tier retains church-historical figures (Zwingli, Vigilantius), consistent with ecclesiastical history."
british,1570-1590,24,718,pyning; sobbing; grones; heauinesse; calamity; anguish; vexations; greefe; wayling,"Grief, Sorrow & Adversity (Poetic Diction)","Literature, Drama & Poetic Diction",human,,
british,1570-1590,44,171,appointme; preside; commandeme; ancie; conse; sile; regime; maintena; imprisonme,Truncated Word Fragments,Structural / Uncertain,inherited,1550-1570#23,Still truncated word fragments.
british,1570-1590,7,1480,dinasoedd; yddaw; gwirionedd; syrthiodd; pob; cadw; wyneb; gwraig; wefusau,Welsh-Language Text,Structural / Uncertain,inherited,1550-1570#16,Still clearly Welsh-language text throughout.
british,1570-1590,49,46,animum; alicuius; aliquo; aliquem; terent; plaut; participium; prod; plin,Latin Grammar & Classical Authors,Structural / Uncertain,human,,
british,1570-1590,33,388,poti; deaco; auste; enu; austens; baro; retirer; citize; barbara,Ecclesiastical Names & Word Fragments,Structural / Uncertain,human,,
british,1570-1590,18,885,tetters; swellings; swellinges; crude; milt; crampes; soares; vomiting; plurisie,Bodily Ailments & Symptoms,"Medicine, Body & Health",human,,
british,1570-1590,31,517,zodiacke; capricorne; diametre; cancer; concauitie; intersection; circle; adc; tropicke,Astronomy & Geometry,"Science, Mathematics & Natural Philosophy",human,,
british,1570-1590,1,2193,disdainefull; periuries; dissolutenes; deceipts; vncharitable; scurffe; sclaunders; backbiting; treacheries,"Vice, Sin & Moral Corruption",Morality: Virtue & Vice,inherited,1550-1570#5,Still vice vocabulary.
british,1570-1590,8,1351,sorrell; cinamon; masticke; licoras; decoct; broath; pomegranate; horehound; hysope,Herbal & Culinary Ingredients,"Medicine, Body & Health",inherited,1550-1570#3,Still herbal/culinary ingredients.
british,1570-1590,25,664,hurling; amayne; foming; lightninges; lightenings; blasts; blustering; weeds; gastly,Storms & Tempestuous Weather,"Nature, Landscape & Weather",human,,
british,1570-1590,0,2477,pariter; nempe; refert; disciplinae; regia; denique; turba; vocant; illius,Latin Text,Structural / Uncertain,inherited,1550-1570#4,Still Latin text.
british,1570-1590,26,643,parke; medowes; thames; shores; craggie; chanell; banke; bankes; baye,"Rivers, Coasts & Landscape Features",Geography & Territory,human,,
british,1570-1590,6,1565,crimson; stagge; imbrodered; targets; plume; beake; blewe; sattin; tayles,Heraldic Colors & Costume,"Domestic Life, Dress & Household",human,1550-1570#1,
british,1570-1590,46,87,assequi; l'arm; peruenire; cit; arm; fussero; shalb; parl; ouers,Truncated Word Fragments,Structural / Uncertain,human,,
british,1570-1590,39,281,auspurge; lenght; randon; lengthe; meruailing; leastwise; wondred; scoffed; tilt,Mixed Miscellany,Structural / Uncertain,human,,
british,1570-1590,22,746,ioram; iosaphat; abia; manasses; amasa; ammon; zabulon; baasa; princeps,Old Testament Biblical Figures,"Religion, Theology & the Church",human,1550-1570#18,
british,1570-1590,42,215,kingstone; tuesday; southside; northside; tewsday; saturday; horssebacke; sundaies; seaze,Calendar Days & Miscellany,Structural / Uncertain,human,,
british,1570-1590,45,167,seemest; beleuest; sawest; hearest; findest; sufferest; fearest; beleeuest; thoughtest,Second-Person Singular Verb Forms,Structural / Uncertain,human,,
british,1570-1590,43,200,dema; ila; propou; compou; confou; scotla; apprehe; edyng; sou,Truncated Word Fragments,Structural / Uncertain,inherited,1550-1570#22,Still clearly truncated word fragments.
british,1570-1590,17,906,d'auoir; maniere; toutesfois; pouuoit; soyent; trente; estoyent; iamais; d'angleterre,French-Language Text,Structural / Uncertain,inherited,1550-1570#19,Still French-language text.
british,1570-1590,38,298,secluded; withdrawne; absteyne; abstayning; swarueth; sequestred; debarred; dissented; swarued,"Exile, Banishment & Withdrawal","Government, Law & Administration",human,,
british,1570-1590,27,642,essendo; hauendo; pipino; sotto; vedere; onde; poco; verso; fece,Italian-Language Text,Structural / Uncertain,human,,
british,1570-1590,47,64,anabaptists; lutherans; arrians; nouatians; caluinistes; anabaptistes; nestorians; arians; heretikes,Religious Sects & Denominations,"Religion, Theology & the Church",human,,
british,1570-1590,35,333,vauntgard; regiments; footmen; footemen; gallies; troupes; harquebuziers; campes; colonell,"Army Ranks, Formations & Equipment",Military & Warfare,human,,
british,1570-1590,23,735,gait; dreid; inglismen; seruandis; swa; sutheroun; felloun; wallace; seik,Scots-Language Text,Structural / Uncertain,inherited,1550-1570#10,Still Scots-language text.
british,1570-1590,34,375,hares; tiger; bores; goate; gotes; birde; panthers; crowes; toade,Animals & Beasts,"Nature, Landscape & Weather",human,,
british,1570-1590,36,316,resina; elemi; resinae; cerui; lapid; agrestis; plumbi; medullae; pingued,Latin Pharmacological & Medical Terms,"Medicine, Body & Health",human,,
british,1570-1590,4,1614,diutius; puerorum; victoriae; spicula; iudices; splendida; praestat; separatim; beneficia,Latin Text,Structural / Uncertain,human,,
british,1570-1590,40,258,demnation; maunding; fessio; panion; stantly; cludeth; obsequens; taineth; sequently,Truncated Word Fragments,Structural / Uncertain,inherited,1550-1570#21,Still truncated word fragments.
british,1570-1590,48,50,interruption; gainsaying; controlement; contradiction; intermission; resistaunce; delaie; impeachment; mainprise,"Legal Obstruction, Delay & Impeachment","Government, Law & Administration",human,,
british,1570-1590,3,1699,amoriaid; amicorum; ydyw; cortes; chwy; violare; constituere; societatem; ebrwydd,Mixed Fragments & Proper Names,Structural / Uncertain,inherited,1550-1570#6,"Still mixed fragments (Welsh, Latin)."
british,1570-1590,41,226,solam; praesentem; statuere; obseruare; anglorum; illas; deducere; acri; quaestio,Latin Text,Structural / Uncertain,human,,
british,1570-1590,50,27,aboout; oout; coourt; mooch; eeuen; noow; awey; oour; hoow; yoo,Phonetic Spelling Variants,Structural / Uncertain,human,,
british,1590-1610,47,321,mutinies; seditions; braules; insurrections; disagreement; brawles; inuasions; dissentions; tumults,"Rebellion, Sedition & Civil Unrest",Military & Warfare,human,,
british,1590-1610,4,1480,propose; contradict; disproue; entreate; flout; conforme; inuite; enforce; expose,General Action Verbs,Structural / Uncertain,inherited,1570-1590#5,Still general action verbs.
british,1590-1610,29,649,intellectuall; proprieties; animall; operations; subsisting; eucharist; glorification; interiour; incomprehensible,Theological & Philosophical Vocabulary,"Religion, Theology & the Church",human,1570-1590#50,
british,1590-1610,33,546,thervvith; vvhervvith; knovven; trepane; vvher; lavvyers; operatione; novv; notvvithstandinge,Connective & Adverbial Function Words,Structural / Uncertain,inherited,1570-1590#32,"Still predominantly connective/adverbial function words (therewith, wherewith, notwithstanding), in the vv-for-w spelling variant."
british,1590-1610,28,680,sixty; fourty; februarie; nouember; ianuarie; fifty; xvj; july; ludi,"Numbers, Currency & Calendar Dates","Trade, Finance & Commerce",inherited,1570-1590#29,Still numbers/dates.
british,1590-1610,54,208,woorse; bigger; blacker; thicker; swifter; lighter; happier; broader; wealthier,Comparative & Superlative Adjectives,Structural / Uncertain,inherited,1570-1590#37,Still consistently comparative/superlative adjectives.
british,1590-1610,32,570,lindabrides; neighboures; neece; nephew; breasts; sprights; familiars; countrymen; coosin,"Kinship, Ancestry & Social Relations","History, Genealogy, Nobility & Kinship",inherited,1570-1590#28,"Core still dominated by kinship terms (niece, nephew, cousin, neighbours, countrymen)."
british,1590-1610,26,753,ducke; toad; catte; buzzard; hogge; squirrell; pander; tyger; haberdasher,Animals & Occupational Types,Structural / Uncertain,human,1570-1590#15,
british,1590-1610,53,235,mich; michah; ezechiel; micha; nahum; micheas; isaiah; baruch; ierem,Biblical Book Names & Citations,"Religion, Theology & the Church",human,,
british,1590-1610,20,842,rhetoricall; logicall; rhetorick; pithie; bountie; piety; philosophy; affabilitie; philosophicall,"Rhetoric, Logic & Philosophy",Rhetoric & Persuasion,human,1570-1590#10,
british,1590-1610,30,628,cats; partridges; geese; hogs; conies; panthers; hennes; toades; ducks,Animals & Beasts,"Nature, Landscape & Weather",inherited,1570-1590#34,Still clearly animal vocabulary throughout.
british,1590-1610,31,601,enformed; refuted; observed; prooved; testified; demonstrated; prooued; understood; imparted,"Argument, Proof & Testimony Verbs",Rhetoric & Persuasion,human,,
british,1590-1610,25,768,childishly; impertinently; impiously; vilely; iniuriously; clearly; shamefully; impudently; copiously,Manner & Certainty Adverbs,Structural / Uncertain,inherited,1570-1590#19,Still manner adverbs.
british,1590-1610,3,1494,poictou; clermont; languedoc; cappadocia; ferdinando; brabant; artois; picardie; roan,European & British Place Names,Geography & Territory,inherited,1570-1590#13,Still place names.
british,1590-1610,15,942,suffraganes; commissaries; archdeacons; notaries; bailiffes; prebendaries; iurisdictions; lordbishops; officials,"Property, Rents & Jurisdictions","Government, Law & Administration",inherited,1570-1590#9,Still church/legal administration vocabulary.
british,1590-1610,11,1066,propositions; allegations; assertions; interpretations; conclusions; authours; definition; writinges; syllogisme,"Argument, Demonstration & Definition",Rhetoric & Persuasion,inherited,1570-1590#12,Still argument/logic vocabulary.
british,1590-1610,19,845,anguish; dolour; mournfull; mishaps; greefe; discontentments; sobbing; sobs; grief,"Grief, Sorrow & Adversity (Poetic Diction)","Literature, Drama & Poetic Diction",inherited,1570-1590#24,Still strongly grief/sorrow vocabulary throughout.
british,1590-1610,12,1011,pluckt; flung; casts; tumbled; threwe; threw; pulled; leapt; throwes,Common Action & Motion Verbs,Structural / Uncertain,inherited,1570-1590#14,Still motion verbs.
british,1590-1610,5,1431,referreth; tearmeth; chastiseth; nameth; alleageth; perswadeth; denieth; citeth; alledgeth,Third-Person Singular Verb Forms,Structural / Uncertain,inherited,1570-1590#16,Still third-person -eth verb forms.
british,1590-1610,21,840,shady; stalles; gutter; firre; medowes; channell; grassie; dales; boughes,"Rivers, Coasts & Landscape Features",Geography & Territory,inherited,1570-1590#26,"Still consistently landscape features (meadows, channel, dales, fir, boughs)."
british,1590-1610,16,917,relect; damasc; gener; gestis; luth; aduers; cambd; clericis; translat,Latin Word-Stem Fragments,Structural / Uncertain,human,1570-1590#49,
british,1590-1610,43,370,monothelites; nouatians; mahumetanes; caluinists; montanists; marcion; idolaters; slaunderers; nestorians,Religious Sects & Denominations,"Religion, Theology & the Church",inherited,1570-1590#47,Still strongly religious sects/heresies vocabulary.
british,1590-1610,41,396,duskie; radiant; rayes; starrie; sparkling; sky; cloudy; splendor; pitchie,"Sky, Light & Celestial Imagery","Nature, Landscape & Weather",human,,
british,1590-1610,7,1304,chambering; inhumaine; vnchristian; vntowardnesse; blockish; toyish; irreligious; luxurie; gluttonie,"Vice, Sin & Moral Corruption",Morality: Virtue & Vice,inherited,1570-1590#1,Still vice vocabulary.
british,1590-1610,56,185,vnderstandest; lyest; vsest; delightest; sawest; fearest; lou'st; sayst; needst,Second-Person Singular Verb Forms,Structural / Uncertain,inherited,1570-1590#45,Still consistently second-person -est verb forms.
british,1590-1610,0,1651,wrongd; ouercharged; bewitcht; ouerthrowen; censured; reprehended; prou'd; kist; surcharged,Chronicle Narrative Verb Forms,Structural / Uncertain,inherited,1570-1590#2,Still narrative past-tense verbs.
british,1590-1610,18,856,forgeries; toies; forgery; deceits; calumniations; mincing; treacheries; trecheries; conspiracies,"Deception, Treachery & Conspiracy",Morality: Virtue & Vice,human,1570-1590#43,
british,1590-1610,2,1624,spangled; buskins; corke; ierkin; speckled; carnation; plates; chinne; frocke,Heraldic Colors & Costume,"Domestic Life, Dress & Household",inherited,1570-1590#6,Still costume vocabulary.
british,1590-1610,24,807,fleame; flegme; fleume; lunges; drines; phlegme; clammie; impostumes; obstruction,Bodily Ailments & Symptoms,"Medicine, Body & Health",inherited,1570-1590#18,Still strongly bodily-ailment/medical vocabulary.
british,1590-1610,22,820,priuati; tali; contenta; altri; essi; essendo; habbi; errori; egli,Italian-Language Text,Structural / Uncertain,inherited,1570-1590#27,Still clearly Italian-language text.
british,1590-1610,57,162,ioine; inueighed; lincked; combined; inueigheth; acquaint; joyne; conioyned; coupled,"Joining, Union & Cooperation Verbs",Structural / Uncertain,human,,
british,1590-1610,6,1329,quum; nullam; quas; cunctis; illam; foemina; horum; scilicet; iterum,Latin Text,Structural / Uncertain,inherited,1570-1590#0,Still Latin text.
british,1590-1610,35,521,albons; andrewes; penit; quintin; poti; cutbert; ething; oswald; pawl,Ecclesiastical Names & Word Fragments,Structural / Uncertain,inherited,1570-1590#33,Still saint names and ecclesiastical fragments.
british,1590-1610,10,1086,smallage; cinamon; almonds; limons; fennell; figs; betonie; sorrell; berries,Herbal & Culinary Ingredients,"Medicine, Body & Health",inherited,1570-1590#8,Still herbal/culinary ingredients.
british,1590-1610,55,204,lenght; dhulh; aiming; leastwise; primero; episcopatu; wondering; ausbourg; smiles,Mixed Miscellany,Structural / Uncertain,inherited,1570-1590#39,Still a mixed miscellany with no single theme.
british,1590-1610,49,293,matchlesse; sturdie; matchles; magnanimitie; stout; chiualrie; valorous; stoute; renowmed,"Valor, Chivalry & Conquest",Military & Warfare,human,,
british,1590-1610,17,891,claudius; franciscus; hosius; petrus; carolus; caius; scotus; iohannes; philippus,Church Fathers & Ecclesiastical History,"Religion, Theology & the Church",inherited,1570-1590#11,Still Latin/church-historical names.
british,1590-1610,46,329,impugning; preseruation; condemning; furtherance; absoluing; punishing; propounding; restrayning; conseruation,Legal & Procedural Verbs,"Government, Law & Administration",human,1570-1590#21,
british,1590-1610,51,239,eastward; danubius; rhene; promontorie; seuerne; marne; southward; downes; westward,Rivers & Geographic Directions,Geography & Territory,human,,
british,1590-1610,52,235,seazeth; ceaze; relye; dotes; looker; gaz'd; seazing; lighting; hurdles,Seizing & Gazing Verbs,Structural / Uncertain,human,1570-1590#42,
british,1590-1610,40,472,interiection; westmon; marw; ethnike; appendix; acorne; vrinall; heretick; infidel,Mixed Miscellany,Structural / Uncertain,inherited,1570-1590#30,Still a mixed miscellany with no single theme.
british,1590-1610,62,24,surpassing; surpasseth; exceedeth; surmounts; excelleth; excelling; exceeds; surpasse; surmount; exceed,Exceeding & Surpassing Verb Forms,Structural / Uncertain,human,,
british,1590-1610,42,396,stormie; scorching; frosts; boreas; surging; bleake; parched; flashing; blustering,Storms & Tempestuous Weather,"Nature, Landscape & Weather",inherited,1570-1590#25,Still strongly storm/weather vocabulary.
british,1590-1610,27,739,demaines; hereditaments; pensions; leases; felonie; tributes; rents; tenements; subsidies,"Property, Estates & Land Law","Government, Law & Administration",human,1570-1590#48,
british,1590-1610,45,344,quadrant; eclipticke; horizontall; zodiacke; sphere; verticall; progression; meridian; zodiake,Astronomy & Geometry,"Science, Mathematics & Natural Philosophy",inherited,1570-1590#31,Still strongly astronomy/geometry vocabulary.
british,1590-1610,48,308,ript; ripping; swalloweth; trussed; lifte; rayseth; hudled; hoise; heaued,Mixed Physical Action Verbs,Structural / Uncertain,human,,
british,1590-1610,14,951,ilf; val; crip; hobs; ienkin; sfoote; rud; ifaith; horatio,Dramatic Character Names & Oaths,"Literature, Drama & Poetic Diction",human,1570-1590#36,
british,1590-1610,13,986,pwy; eythr; drwy; amser; rhyw; fydd; ddim; catholic; gwir,Welsh-Language Text,Structural / Uncertain,inherited,1570-1590#7,Still Welsh-language text.
british,1590-1610,37,509,phoebe; daphne; aurora; adonis; phaebus; hippolitus; thetis; proserpine; phebus,Classical & Mythological Names,"Literature, Drama & Poetic Diction",human,,
british,1590-1610,36,510,warbling; ratling; melodious; shrill; melody; resounding; fragrant; ditties; yelling,"Music, Song & Vocal Sound","Literature, Drama & Poetic Diction",human,,
british,1590-1610,61,101,xxvi; xxvii; idus; xxii; xvii; xix; xvi; altvs; xxv,Roman Numerals & Miscellany,Structural / Uncertain,human,,
british,1590-1610,23,815,agnoscitur; ahaziah; amon; ioram; aram; ahab; ioash; zedechias; zimri,Old Testament Biblical Figures,"Religion, Theology & the Church",inherited,1570-1590#22,Still Old Testament biblical figures.
